Rank,Country,Name,Sport,Gender,Results
1,JPN,Kohei Uchimura,Gymnastic Artistic,Male,92
2,UKR,Oleg Verniaiev,Gymnastic Artistic,Male,92
3,GBR,Max Whitlock,Gymnastic Artistic,Male,90
4,RUS,David Belyavskiy,Gymnastic Artistic,Male,90
5,CHN,Chaopan Lin,Gymnastic Artistic,Male,90
6,CHN,Shudi Deng,Gymnastic Artistic,Male,89
7,USA,Sam Mikulak,Gymnastic Artistic,Male,89
8,GBR,Nile Wilson,Gymnastic Artistic,Male,89
9,BRA,Sergio Sasaki,Gymnastic Artistic,Male,89
10,COL,Jossimar Orlando,Gymnastic Artistic,Male,88
11,JPN,Ryohei Kato,Gymnastic Artistic,Male,88
12,SUI,Eddy Yusof,Gymnastic Artistic,Male,87
13,RUS,Nikolai Kuksenkov,Gymnastic Artistic,Male,87
14,USA,Christopher Brooks,Gymnastic Artistic,Male,87
15,NED,Bart Deurloo,Gymnastic Artistic,Male,87
16,SUI,Pablo Braegger,Gymnastic Artistic,Male,87
17,BRA,Arthur Mariano,Gymnastic Artistic,Male,87
18,BLR,Andrey Likhovitskiy,Gymnastic Artistic,Male,86
19,GER,Marcel Nguyen,Gymnastic Artistic,Male,86
20,GER,Andreas Bret,Gymnastic Artistic,Male,84
21,FRA,Axel Augis,Gymnastic Artistic,Male,82
22,AZE,Oleg Stepko,Gymnastic Artistic,Male,79
1,USA,Simone Biles,Gymnastic Artistic,Female,62
2,USA,Alexandra Raisman,Gymnastic Artistic,Female,60
3,RUS,Aliya Mustafina,Gymnastic Artistic,Female,58
4,CHN,Chunsong Shang,Gymnastic Artistic,Female,58
5,CAN,Elsabeth Black,Gymnastic Artistic,Female,58
6,CHN,Yan Wang,Gymnastic Artistic,Female,59
7,VEN,Jessica Briz,Gymnastic Artistic,Female,57
8,JPN,Asuka Teremoto,Gymnastic Artistic,Female,57
9,NED,Eythora Thorsdottir,Gymnastic Artistic,Female,57
10,SUI,Guilia Steingruber,Gymnastic Artistic,Female,57
11,BRA,Rebeca Andrade ,Gymnastic Artistic,Female,56
12,ITA,Carlotta Ferlito,Gymnastic Artistic,Female,56
13,GBR,Elissa Downie,Gymnastic Artistic,Female,56
14,JPN,Mai Murakami,Gymnastic Artistic,Female,56
15,FRA,Marina Brevet,Gymnastic Artistic,Female,56
16,ITA,Vanessa Ferrari,Gymnastic Artistic,Female,56
17,GER,Elisabeth Seitz,Gymnastic Artistic,Female,56
18,CAN,Isablea Onyshko,Gymnastic Artistic,Female,56
19,BEL,Nina Derwael,Gymnastic Artistic,Female,56
20,NED,Lieke Wevers,Gymnastic Artistic,Female,55
21,FRA,Louise Vanhille,Gymnastic Artistic,Female,54
22,RUS,Seda Turkhal,Gymnastic Artistic,Female,54
23,GER,Sophie Scheder,Gymnastic Artistic,Female,53
1,FRA,Teddy Rinner,Judo Heavyweight,Male,
2,JPN,Hisa Haraswaa,Judo Heavyweight,Male,
3,BRA,Rafael Silva,Judo Heavyweight,Male,
3,ISR,Or Sasson,Judo Heavyweight,Male,
5,UZB,Abdullo Tangriev,Judo Heavyweight,Male,
5,CUB,Alex Garcia,Judo Heavyweight,Male,
7,NED,Roy Meye,Judo Heavyweight,Male,
7,KGZ,Ury Krakovetsky,Judo Heavyweight,Male,
9,ALG,Mohammad Amine,Judo Heavyweight,Male,
9,RUS,Renat Saidov,Judo Heavyweight,Male,
9,KOR,Sungmin Kim,Judo Heavyweight,Male,
9,POL,Maciej Sarnacki,Judo Heavyweight,Male,
9,AZE,Ushangi Kokaur,Judo Heavyweight,Male,
9,HUN,Barna Bor,Judo Heavyweight,Male,
9,UKR,Iakiv Khammo,Judo Heavyweight,Male,
9,ROU,Daniel Natea,Judo Heavyweight,Male,
17,MGL,Tem Battulga,Judo Heavyweight,Male,
17,HON,Ramon Pileta,Judo Heavyweight,Male,
17,AUT,Daniel Allerstorfer,Judo Heavyweight,Male,
17,CGO,Deo Garcia,Judo Heavyweight,Male,
17,ECU,Freddy Figueroa,Judo Heavyweight,Male,
